GeneSymbol	Desnoplastic	Stroma Activated	Immune classical	Pure classical	pure basal-like
LBH	5.39770169742119	5.6935574621238	5.00938322996286	5.17895017388584	5.38218211363188
ZFPM1	5.77126820533005	5.79969119077655	5.87210582542485	6.37051409835376	5.37373696829913
CES2	5.57976059043933	5.71574197013894	5.94884154908773	6.70198904993649	5.36498688023209
SLC44A4	5.58003505335747	6.54941843178395	6.10567120457937	7.26045997294308	5.35735179071636
SGK1	5.94217575086928	5.2752365559426	5.39210409029444	5.09176480017092	5.32775559911529
GPX7	5.59060842893037	5.57065810614576	4.8086601481379	4.91461854052328	5.32221245556883
PYGL	4.65419647109534	4.96539893006627	4.07416071675276	4.2239675729471	5.3218546478101
KLK11	5.27093689863325	6.39314443997583	4.85965762067861	5.73734001459503	5.31190867783501
MUC16	3.48459749633643	4.56039484970364	2.99676445969923	3.25806780940135	5.3075095237876
NUAK1	5.3678390857335	5.44779087866949	4.33808376136539	4.66108102548164	5.25699017481246
CD248	5.9093541055216	5.68566089291811	4.89394045575788	5.04627870698808	5.24355709014023
SEPHS2	5.303888137156	5.45282771700699	5.43883508325907	5.92748284630843	5.23490069028779
KLK6	4.823944095753	5.93716279840108	4.06167701584647	4.65017622476238	5.21758762358283
CAPN8	5.25304093210762	6.14293633210914	5.75766385715294	6.94475557248566	5.2092412027219
HEG1	6.01714359214057	5.66872141448405	5.3907752363125	5.25681666171596	5.19072342075492
TUBB3	5.00447486773682	5.30219105266016	4.33561038821704	4.77410487473926	5.16163828706346
ANXA6	5.51971635178132	5.27481795802478	4.7922566970063	4.99775398783567	5.15554940179935
FBLN5	6.8860938268944	6.13015958953543	6.72613762176436	6.01763696137016	5.15532858334602
EDNRA	5.62898024752307	5.7485005590782	4.97616769909426	4.96973975295205	5.15277147512542
GBE1	4.56806536806263	4.85101699395135	4.21137520249479	4.40079776892818	5.14725634900194
CALB2	4.07551115687019	5.05673568463432	3.24228948650344	4.04794271997723	5.09791116246392
TRPM4	4.98208975768517	5.3440803428847	4.92207617180117	5.638420743118	5.06907373439903
CYP2S1	5.13067621445028	5.85510641705757	5.96684343770359	6.76327010534253	5.05989199265624
ZNHIT3	4.35891263142246	4.68884310216523	4.32063237558015	4.62498634197574	5.05786774744347
TUBA1A	6.07627754531796	5.80225200301337	5.2243948227768	5.05642064116543	5.04931497129747
GMDS	5.08519836503302	5.07065771626944	5.74674721270581	5.99128345019743	5.01362397203009
FBP1	5.39464731806801	5.51431179711433	5.34734245185483	6.25524905142586	4.99672008326985
LHFP	6.14165188618234	5.56781619628665	5.74882604113889	5.28280710568673	4.98218083009577
DCBLD1	4.62438313378472	4.94548616393847	4.33234993897928	4.48192797293619	4.98125169185415
ANO1	5.00566885538037	5.60017318920881	4.4557035511181	4.80333140209081	4.95737816788795
PTGES	3.80068177907474	4.3980647943638	3.98698979842625	3.81757974550909	4.92194180385322
GNG11	5.6762872038012	5.24279490376453	5.27037698973388	4.93528905441608	4.90681942547718
ARNTL2	3.43775188841053	3.95412461691449	3.54692666926864	3.73599238163915	4.85173246244925
SPON1	6.35480452028103	5.64615657984626	5.39746769034706	5.02831924954646	4.83524493485403
SPOCD1	4.08766503976415	4.49707365066407	3.77576130631962	4.0092067725899	4.7999433000333
LRRN1	4.86786918597005	5.34782349292382	4.24606047182325	4.46995221261988	4.75935579936559
MOXD1	6.36221885100848	5.86897062932654	6.21048631913519	5.48332376842266	4.7456359686489
PRR11	3.58287633299797	3.96756468005398	3.87826163160152	3.84638633322699	4.73739842266215
OLFML3	5.71182476862031	5.34426084773916	5.29149292305327	4.86944882797163	4.72559782880242
BIN2	5.20567218205376	4.79476028282589	4.96989022206085	4.67919726750189	4.69785481333888
NTM	5.22950125202979	5.56528403327994	4.4578795114362	4.45571055662748	4.68126654913988
IGFL2	4.47882101591364	5.22470107398023	3.50007066679272	3.87122797617761	4.67650004621043
KIAA0922	5.3535245409173	4.75618787182628	4.90281419674937	4.60616821245569	4.64730142792084
ANLN	3.36120500295427	3.94461301401841	3.36174780543075	3.76483505688918	4.64718825174558
ZEB2	5.62710165840211	5.10049666895174	5.2919638310718	4.6405612565475	4.64087175316384
ARHGAP30	5.38686042871626	4.83009223311433	5.12287698390568	4.90564071393944	4.63435851026556
RGS2	5.57471792866102	4.9701450086781	4.79521273153957	4.61604628335852	4.60948969432364
RAMP2	5.59568928855069	4.93865451042947	5.32864741902112	4.99364489688486	4.59881303193788
CHST14	4.84046415026169	5.01620756246086	4.38952995465998	4.51011830840626	4.58697995504376
CAPRIN2	3.62974213359202	3.95906569836169	3.49375011096103	3.64798633879872	4.55054842739903
GPX3	5.7711244479684	4.81510140828446	5.01194137804652	4.96860649743261	4.54179097659726
TNNT1	2.93754941804423	3.45293821327843	3.01617194368271	3.03172385421878	4.535920192479
SFTA2	4.46667169281046	5.24105747957262	4.326082012994	5.03055789999751	4.5151568673028
NKD2	4.95038282626935	5.0792159438157	4.39754874727516	4.48871849208985	4.47037914862593
GPR87	3.22634318424489	3.8513306137564	2.99848170634123	3.15758981731917	4.46938326488456
CYP7B1	5.44853874792254	4.85932821146909	5.03048511840772	4.62488674506667	4.46798499492435
FUT5	4.43070071810376	4.40647078098935	4.77029263747158	4.46418771423209	4.43534807526156
TGFB3	5.56425146611311	4.90571139737583	4.340833683683	4.20560572078938	4.42870365880344
AHCYL2	4.67101590359148	4.65097259492079	5.03621206609696	5.7282440113819	4.42174563974966
PADI1	3.02550744835426	4.48067954728617	2.25739862724291	3.34684791154107	4.40757826593855
